Year,Year ending,Offence Division,Offence Subdivision,Offence Subgroup,Offence Count,"Rate per 100,000 population"
2022,March,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,9468,143.024107901
2022,March,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,76,1.148060013
2022,March,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,14872,224.657217226
2022,March,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,47134,712.008692627
2022,March,B Property and deception offences,B40 Theft,B43 Steal from a retail store,18485,279.235385989
2022,March,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,7042,106.37682381
2022,March,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods,14568,220.064977176
2022,March,B Property and deception offences,B40 Theft,B46 Fare evasion,23,0.347439214
2022,March,B Property and deception offences,B40 Theft,B49 Other theft,37381,564.679359679
2022,March,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting,2808,42.41779626
2022,March,B Property and deception offences,B50 Deception,B52 Possess equipment to make false instrument,11,0.166166581
2022,March,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception,23233,350.958924679
2022,March,B Property and deception offences,B50 Deception,B54 State false information,712,10.755509593
2022,March,B Property and deception offences,B50 Deception,B55 Deceptive business practices,12,0.181272634
2022,March,B Property and deception offences,B50 Deception,B56 Professional malpractice and misrepresentation,127,1.918468705
2022,March,B Property and deception offences,B50 Deception,B59 Other deception offences,1215,18.353854151
2022,March,B Property and deception offences,B60 Bribery,B61 Bribery of officials,6,0.090636317
2022,March,C Drug offences,C10 Drug dealing and trafficking,C11 Drug dealing,63,0.951681326
2022,March,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking,3768,56.919606947
2022,March,C Drug offences,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,1030,15.559234383
2022,March,C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,795,12.009311975
2022,March,C Drug offences,C30 Drug use and possession,C31 Drug use,279,4.214588731
2022,March,C Drug offences,C30 Drug use and possession,C32 Drug possession,23751,358.783860029
2022,March,C Drug offences,C90 Other drug offences,C99 Other drug offences,183,2.764407662
2022,March,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences,5471,82.645214863
2022,March,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences,9142,138.099534688
2022,March,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,289,4.365649259
2022,March,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,2088,31.541438244
2022,March,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,3112,47.01003631
2022,March,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,2228,33.656285636
2022,March,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,439,6.631557179
