Year,Year ending,Offence Division,Offence Subdivision,Offence Subgroup,Offence Count,"Rate per 100,000 population"
2022,March,D Public order and security offences,D40 Public security offences,D43 Hacking,58,0.9
2022,March,D Public order and security offences,D40 Public security offences,D44 Terrorism offences,8,0.1
2022,March,E Justice procedures offences,E10 Justice procedures,E11 Escape custody,98,1.5
2022,March,E Justice procedures offences,E10 Justice procedures,E12 Fail to appear,1,0.0
2022,March,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer,"8,873",134.0
2022,March,E Justice procedures offences,E10 Justice procedures,E14 Pervert the course of justice or commit perjury,634,9.6
2022,March,E Justice procedures offences,E10 Justice procedures,E15 Prison regulation offences,571,8.6
2022,March,E Justice procedures offences,E10 Justice procedures,E19 Other justice procedures offences,"1,971",29.8
2022,March,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order,"51,210",773.6
2022,March,E Justice procedures offences,E20 Breaches of orders,E22 Breach intervention order,"4,369",66.0
2022,March,E Justice procedures offences,E20 Breaches of orders,E23 Breach bail conditions,"11,339",171.3
2022,March,E Justice procedures offences,E20 Breaches of orders,E29 Breach of other orders,"1,218",18.4
2022,March,F Other offences,F10 Regulatory driving offences,F19 Other regulatory driving offences,19,0.3
2022,March,F Other offences,F20 Transport regulation offences,F21 Public transport,122,1.8
2022,March,F Other offences,F20 Transport regulation offences,F22 Aviation regulations offences,24,0.4
2022,March,F Other offences,F20 Transport regulation offences,F23 Maritime regulations offences,156,2.4
2022,March,F Other offences,F20 Transport regulation offences,F24 Pedestrian offences,6,0.1
2022,March,F Other offences,F20 Transport regulation offences,F29 Other transport regulation offences,24,0.4
2022,March,F Other offences,F30 Other government regulatory offences,F31 Betting and gaming offences,19,0.3
2022,March,F Other offences,F30 Other government regulatory offences,F32 Commercial regulation offences,36,0.5
2022,March,F Other offences,F30 Other government regulatory offences,F33 Liquor and tobacco licensing offences,122,1.8
2022,March,F Other offences,F30 Other government regulatory offences,F34 Pornography and censorship offences,2,0.0
2022,March,F Other offences,F30 Other government regulatory offences,F36 Prostitution offences,151,2.3
2022,March,F Other offences,F30 Other government regulatory offences,F39 Other government regulatory offences,81,1.2
2022,March,F Other offences,F90 Miscellaneous offences,F91 Environmental offences,67,1.0
2022,March,F Other offences,F90 Miscellaneous offences,F92 Public health and safety offences,"10,478",158.3
2022,March,F Other offences,F90 Miscellaneous offences,F93 Cruelty to animals,176,2.7
2022,March,F Other offences,F90 Miscellaneous offences,F94 Dangerous substance offences,29,0.4
2022,March,F Other offences,F90 Miscellaneous offences,F99 Other miscellaneous offences,144,2.2
2021,March,A Crimes against the person,A10 Homicide and related offences,A11 Murder,61,0.9
2021,March,A Crimes against the person,A10 Homicide and related offences,A12 Attempted murder,18,0.3
2021,March,A Crimes against the person,A10 Homicide and related offences,A14 Manslaughter & A13  Accessory/ conspiracy to murder,34,0.5
2021,March,A Crimes against the person,A10 Homicide and related offences,A15 Driving causing death,83,1.3
2021,March,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,"7,535",115.1
2021,March,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,"7,479",114.2
2021,March,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer","3,514",53.7
2021,March,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,"16,165",246.9
2021,March,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,"11,003",168.0
2021,March,A Crimes against the person,A30 Sexual offences,A31 Rape,"4,466",68.2
2021,March,A Crimes against the person,A30 Sexual offences,A32 Indecent assault,"5,593",85.4
2021,March,A Crimes against the person,A30 Sexual offences,A33 Incest,502,7.7
2021,March,A Crimes against the person,A30 Sexual offences,A34 Sexual offences against children,"2,762",42.2
2021,March,A Crimes against the person,A30 Sexual offences,A39 Other sexual offences,829,12.7
2021,March,A Crimes against the person,A40 Abduction and related offences,A41 Abduction,183,2.8
2021,March,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment,592,9.0
2021,March,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,"2,277",34.8
2021,March,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,317,4.8
2021,March,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail,157,2.4
2021,March,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion,87,1.3
2021,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking,"1,562",23.9
2021,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,"1,304",19.9
2021,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance,"2,102",32.1
2021,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,"1,337",20.4
2021,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour,"4,356",66.5
